"Input URL","Normalized URL","Locale","Slug","Meta Key","In 272 Issues","Issue Length (From Report)","Current Length (From Locale)","Current Text","Notes"
"https://lovart.info/ja/","https://lovart.info/ja/","ja","index","seo.description","N","","65","LovartはAIデザインを高速化するプラットフォームです。高品質なビジュアル作成、共同編集、制作効率化を実現。今すぐ無料で試す。","key_not_in_issues_report"
"https://lovart.info/zh/","https://lovart.info/zh/","zh","index","seo.description","N","","55","使用 Lovart AI 设计平台快速生成高质量视觉内容，协作创作更高效，轻松完成从灵感到成稿。立即免费体验。","key_not_in_issues_report"
"https://lovart.info/zh/blog","https://lovart.info/zh/blog","zh","blog","blog_page.seo.description","N","","76","阅读 Lovart 博客，持续获取 AI 设计趋势解读、工作流实战教程与真实项目案例，帮助你从灵感整理到成品交付都更高效，适合设计师与内容团队长期参考。","key_not_in_issues_report"
"https://lovart.info/zh/about","https://lovart.info/zh/about","zh","about","about_page.seo.description","N","","84","了解 Lovart AI，全球首个 AI 设计代理。探索我们的使命、由 Melvin Chen 和 Haofan Wang 领导的旧金山团队，以及核心 MCoT 技术。","key_not_in_issues_report"
"https://lovart.info/lovart-terms-of-use-guide","https://lovart.info/lovart-terms-of-use-guide","en","lovart-terms-of-use-guide","support_cluster.pages.terms_of_use_guide.seo.description","N","","216","Third-party Lovart terms guide that summarizes account rules, billing terms, acceptable use boundaries, and user responsibilities, then routes you to the official terms page for binding legal text and latest updates.","key_has_issues_in_other_locales:es:84|it:84"
"https://lovart.info/zh/blog-lovart-january-update-new-features","https://lovart.info/zh/blog-lovart-january-update-new-features","zh","blog-lovart-january-update-new-features","blog_page.latest.posts.5.desc","N","","52","新年新气象！了解 Lovart 最新的产品更新，包括增强的 AI 算法、全新的模板库以及改进的协作功能。","key_not_in_issues_report"
"https://lovart.info/zh/blog-ui-ux-design-trends-2024","https://lovart.info/zh/blog-ui-ux-design-trends-2024","zh","blog-ui-ux-design-trends-2024","blog_page.latest.posts.1.desc","N","","52","深度解析 2024 年最值得关注的 UI/UX 设计趋势，从极简主义到沉浸式体验，以及如何在项目中应用。","key_not_in_issues_report"
"https://lovart.info/zh/blog-ai-assisted-product-design-best-practices","https://lovart.info/zh/blog-ai-assisted-product-design-best-practices","zh","blog-ai-assisted-product-design-best-practices","blog_page.latest.posts.3.desc","N","","53","探讨如何将 AI 工具有效地融入产品设计流程，从概念验证到用户测试，AI 如何帮助产品团队做出更好的决策。","key_not_in_issues_report"
"https://lovart.info/zh/help","https://lovart.info/zh/help","zh","help","help_page.seo.description","N","","65","访问 Lovart AI 官方帮助中心，获取积分消耗规则、订阅指南、商业授权说明及技术支持。通过邮件或 Discord 获取帮助。","key_not_in_issues_report"
"https://lovart.info/zh/lovart-pricing","https://lovart.info/zh/lovart-pricing","zh","lovart-pricing","pricing_page.seo.description","N","","55","查看 Lovart AI 定价方案，按个人、团队与企业需求选择灵活套餐，清晰对比功能与额度。立即选择合适方案。","key_not_in_issues_report"
"https://lovart.info/ja/help","https://lovart.info/ja/help","ja","help","help_page.seo.description","N","","164","Access Lovart AI's official Help Center for credit usage rules, subscription guides, commercial license info, and troubleshooting. Get support via email or Discord.","key_not_in_issues_report"
"https://lovart.info/zh/blog-master-lovart-ai-design-in-5-minutes","https://lovart.info/zh/blog-master-lovart-ai-design-in-5-minutes","zh","blog-master-lovart-ai-design-in-5-minutes","blog_page.latest.posts.0.desc","N","","72","快速学习如何使用 Lovart 的 AI 功能创作出色的设计作品。本教程涵盖核心模块、提示词写法与实战步骤，帮助你在短时间内稳定产出可用设计稿。","key_not_in_issues_report"
